stop_area_gid,area_name,lon,lat
9021302000253000,Kungsövägen vsk.,19.868641,60.11854
9021302000255000,Kvarnbo,20.06158,60.274672
9021302000257000,Kvarnlyckevägen vsk.,20.093194,60.071502
9021302000259000,Källarvägen,19.915439,60.130405
9021302000261000,Källbo skola,19.985064,60.228428
9021302000263000,Käringsund Resort & Conferans,19.541838,60.237905
9021302000264000,Käringsunds Camping,19.544541,60.233431
9021302000266000,Labbnäs,19.859448,60.329829
9021302000268000,Laby,19.996358,60.318375
9021302000269000,Lafsbölevägen vsk.,20.064462,60.289849
9021302000271000,Langnäs vändplan,19.986401,60.012345
9021302000273000,Lemböte vsk.,20.029122,60.082042
9021302000275000,Lemlands kyrka,20.084244,60.071692
9021302000276000,Lemströms kanal,20.014728,60.098805
9021302000281000,Listersby,20.37944,60.230619
9021302000283000,Lumparby,20.24823,60.120672
9021302000285000,Lumparsund,20.22663,60.079928
9021302000287000,Lumpo,20.231421,60.144091
9021302000289000,Långnäs färjfäste,20.296355,60.11745
9021302000292000,Lönnhagsvägen,19.913988,60.111558
9021302000294000,Lötö,20.007403,60.31392
9021302000296000,Lövö,20.371076,60.260278
9021302000298000,Mangelbo,19.962988,60.253615
9021302000300000,Marby byn,19.666081,60.204232
9021302000302000,Marbyvägen vsk.,19.647981,60.212896
9021302000304000,Marbyöjen vsk.,19.671937,60.216347
9021302000306000,Mariavägen vsk.,19.730961,60.216755
9021302000308000,"Mariehamn, Bussplan",19.942343,60.102057
9021302000310000,Markusbölevägen,19.913907,60.254512
9021302000312000,Maxinge,19.934688,60.12989
9021302000314000,Mellanvik,20.068844,60.065975
9021302000316000,Mickelsö vsk.,20.285292,60.205961
9021302000318000,Musterivägen vsk.,20.000666,60.233695
9021302000320000,Mönbackavägen vsk.,20.156487,60.073602
9021302000322000,Mörslättsvägen vsk.,19.967454,60.301833
9021302000324000,Nabben,19.948484,60.114974
9021302000326000,Nabbenvägen vsk.,19.966703,60.294076
9021302000328000,Norra Esplanadgatan,19.936195,60.097322
9021302000330000,Norrängen,19.928354,60.200598
9021302000332000,Nåtö biologiska,19.974325,60.04576
9021302000334000,Nåtö by vsk.,19.96947,60.041118
9021302000336000,Näfsby vsk.,19.781435,60.193067
9021302000338000,Nääs,20.010816,60.320626
9021302000340000,Odalgården,19.942855,60.121656
9021302000342000,Ollas,19.944722,60.274807
9021302000344000,Ollasgatan vsk.,19.567359,60.223799
9021302000346000,Osängs,19.923632,60.33102
9021302000348000,Vårdö Pellas,20.374144,60.26488
9021302000352000,Pettböle,19.981826,60.355933
9021302000354000,Matrosgatan,19.940414,60.091013
9021302000358000,Posten,19.916297,60.120942
9021302000360000,Postgärdsvägen vsk.,19.936088,60.196114
9021302000362000,Prästgården,20.100654,60.069063
9021302000364000,Prästö,20.257977,60.207006
9021302000366000,Prästö färjfäste,20.271558,60.208225
9021302000368000,Pålsböle daghem,19.934,60.270951
9021302000370000,Pålsböle Sarlings,19.931862,60.265439
9021302000372000,Pålsbölevägen,19.965393,60.248617
9021302000374000,Ringvägen vsk.,19.942962,60.087864
9021302000376000,Rågetsböle,19.889975,60.268085
9021302000378000,Rönngården,19.947271,60.159044
9021302000380000,Rörstorp,20.13151,60.073166
9021302000382000,Saltkråkan vändplan,20.002904,60.025379
9021302000384000,Samuelstorp,19.745096,60.16991
9021302000386000,Sandmovägen vsk.,19.552998,60.223252
9021302000388000,Sandvik,20.106415,60.033561
9021302000390000,Sandösund,20.387064,60.270889
9021302000392000,Savoy,19.938054,60.100591
9021302000394000,Simskäla färjfäste,20.372777,60.32192
9021302000396000,Sjukhuset,19.93231,60.113796
9021302000398000,Skag vsk.,20.237988,60.084675
9021302000400000,Skagvägen vsk.,19.580641,60.226382
9021302000402000,Skarpans vsk.,20.224231,60.211898
9021302000404000,Skeppsviksvägen vsk.,19.577132,60.190246
9021302000406000,Skillnadsgatan vsk.,19.939914,60.09303
9021302000408000,Skolsvängen vsk.,20.136745,60.073754
9021302000412000,Slottsvägen vsk.,20.071466,60.24029
9021302000414000,S-market/Medimar,19.913002,60.113908
9021302000416000,Smartpark,19.607586,60.214515
9021302000418000,Smedsböle vsk.,20.161875,60.223605
9021302000420000,Snäckö färjfäste,20.726763,60.219147
9021302000421000,Solberget södra,19.979463,60.112396
9021302000423000,Lervik,19.948346,60.074118
9021302000427000,Sportkila,20.136441,60.220549
9021302000429000,Torget,19.942816,60.097369
9021302000433000,Stenbro vsk.,20.083498,60.2379
9021302000435000,Storby,19.55863,60.223221
9021302000437000,Storängsgatan vsk.,20.188403,60.219519
9021302000439000,Strandnäs,19.942265,60.117011
9021302000441000,Strandnäs hotell,19.942498,60.11971
9021302000443000,Strandnäs skola norra,19.943821,60.116492
9021302000445000,Strandnäs skola södra,19.945234,60.115481
9021302000447000,Strömma,20.044246,60.3206
9021302000449000,Strömsby vsk.,20.372604,60.247204
9021302000451000,Strömsnäs,20.02433,60.090382
9021302000453000,Stålsby,19.95828,60.345536
9021302000455000,Sundsvägen 871 vsk.,20.113601,60.221805
9021302000457000,Svartsmara,19.879543,60.249252
9021302000461000,Sviby bro,19.917725,60.113477
9021302000463000,Svinö färjfäste,20.267584,60.06653500000001
9021302000464000,Svinö stugby,20.261199,60.082395
9021302000466000,Svinövägen vsk.,20.256118,60.085444
9021302000470000,Söderby Livs,20.085731,60.068834
9021302000472000,Södergatan vsk.,19.564498,60.214843
9021302000474000,Söderhägnan,20.01337,60.106034
9021302000478000,Södernäsvägen vsk.,20.024423,60.241515
9021302000480000,Söderskogsvägen vsk.,19.8437,60.20621
9021302000482000,Södersunda,19.872447,60.15473
9021302000483000,Södersunda skola,19.877479,60.156352
9021302000484000,Södra Finbygatan vsk.,20.179209,60.221763
9021302000486000,Södra Flaka,20.162444,60.019801
9021302000488000,Södra Kulla,19.874679,60.20883
9021302000490000,Södra Svinövägen vsk.,20.260245,60.075801
9021302000492000,Tekniska verken,19.932977,60.106496
9021302000494000,Tellviksvägen vsk.,19.98978,60.290121
9021302000495000,Tingsbacka,19.918269,60.203882
9021302000497000,Tjudö midsommarstång,19.947914,60.333728
9021302000499000,Tjudö vsk.,19.941328,60.314466
9021302000501000,Tobölevägen vsk.,20.019528,60.321846
9021302000503000,Eckerö Torp,19.587329,60.187824
9021302000506000,Torpfjärden,19.883867,60.113487
9021302000508000,Torrbolstad,19.906185,60.277505
9021302000510000,Tosarby vsk.,20.104958,60.223614
9021302000512000,Tärnebolstad,19.958307,60.266329
9021302000514000,Töftö,20.297833,60.211715
9021302000516000,Töftö färjfäste,20.277861,60.205603
9021302000518000,Ulfsby,19.930821,60.155133
9021302000520000,Utängarna,19.858248,60.121738
9021302000522000,Utängsvägen,19.887644,60.126981
9021302000523000,Valborg,20.097777,60.068466
9021302000525000,Vandö,19.907863,60.30466
9021302000527000,Vargata brygga vsk.,20.341469,60.243613
9021302000529000,Vargata centrum,20.351116,60.245909
9021302000531000,Vargata vsk.,20.353713,60.244611
9021302000533000,Vargsunda,19.856947,60.178605
9021302000535000,Vessingsboda,20.174763,60.043908
9021302000537000,Vestansunda,19.843337,60.153674
9021302000539000,Vestmyravägen vsk. 1,19.778758,60.196978
9021302000541000,Vestmyravägen vsk. 2,19.739425,60.193644
9021302000543000,Vikingahallen,19.949531,60.147933
9021302000545000,Vårdö kyrka,20.37048,60.24292
9021302000548000,Vårdö skola,20.375506,60.244506
9021302000549000,Västanträsk 1,19.92543,60.333835
9021302000551000,Västanträsk 2,19.92659,60.340631
9021302000553000,Västanträsk musteri,19.928696,60.343357
9021302000555000,Västergeta,19.855486,60.376826
9021302000557000,Västeränga,20.13258,60.016158
9021302000559000,Västra macken,19.929983,60.111219
9021302000561000,Västra Möckelö vsk.,19.898805,60.107112
9021302000563000,Ytterby,20.014738,60.160704
9021302000564000,Ytternäs skola,19.942017,60.0842
9021302000566000,Ytterängsvägen vsk.,19.996131,60.302566
9021302000567000,Ålandsplan,19.937223,60.104026
9021302000569000,Åttbölevägen vsk.,19.907191,60.251229
9021302000571000,Ämnäs,19.963234,60.209193
9021302000573000,Ämnäs viken,19.959523,60.204623
9021302000575000,Ämnäsgatan,19.973012,60.211393
9021302000577000,Ängösundsvägen vsk.,20.26134,60.115696
