Gid,Name,ShortName,Designation,LocalNumber,IsJourneyPatternPointGid,IsIncludedInStopAreaGid,TypeCode,ForAlightingYesNo,ForBoardingYesNo,OrientationDegrees,LengthMeters,LastModifiedUtcDateTime,ExistsFromDate,ExistsUptoDate,CoordinateSystemName,CentroidNorthingCoordinate,CentroidEastingCoordinate,lon,lat
9022302000380002,Rörstorp,,B,2,9025302000038002,9021302000380000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.073166,20.13151,20.13151,60.073166
9022302000464002,Svinö stugby,,B,2,9025302000046402,9021302000464000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.082395,20.261199,20.261199,60.082395
9022302000470002,Söderby Livs,,B,2,9025302000047002,9021302000470000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.068834,20.085731,20.085731,60.068834
9022302000474002,Söderhägnan,,B,2,9025302000047402,9021302000474000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.106034,20.01337,20.01337,60.106034
9022302000486002,Södra Flaka,,B,2,9025302000048602,9021302000486000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.019801,20.162444,20.162444,60.019801
9022302000495002,Tingsbacka,,B,2,9025302000049502,9021302000495000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.203882,19.918269,19.918269,60.203882
9022302000523002,Valborg,,B,2,9025302000052302,9021302000523000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.068466,20.097777,20.097777,60.068466
9022302000557002,Västeränga,,B,2,9025302000055702,9021302000557000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.016158,20.13258,20.13258,60.016158
9022302000596002,Östanåkersvägen vsk.,,B,2,9025302000059602,9021302000596000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.210604,19.905251,19.905251,60.210604
9022302001017001,Seglinge (Seglinge),,A,1,9025302000101701,9021302001017000,BUSSTOP,1,1,,50.0,2021-03-19 10:09:10.883,2021-03-29 00:00:00.000,,WGS84,60.215173,20.710154,20.710154,60.215173
