from_area,from_name,to_area,to_name,period,trips
9021302000187000,Jomala kyrka,9021302000185000,Jomala församlingshem,am,0.0507
9021302000109000,Fremmanby,9021302000308000,"Mariehamn, Bussplan",am,0.0507
9021302000453000,Stålsby,9021302000586000,Ödkarby skola,am,0.0507
9021302000566000,Ytterängsvägen vsk.,9021302000261000,Källbo skola,am,0.0503
9021302000586000,Ödkarby skola,9021302000261000,Källbo skola,am,0.0503
9021302000441000,Strandnäs hotell,9021302000429000,Torget,am,0.0502
9021302000510000,Tosarby vsk.,9021302000392000,Savoy,am,0.0502
9021302000358000,Posten,9021302000668000,Jomala skola södra,am,0.0501
9021302000557000,Västeränga,9021302000314000,Mellanvik,am,0.0501
9021302000501000,Tobölevägen vsk.,9021302000123000,Godbyhallen vsk.,am,0.0501
9021302000189000,Jomala skola,9021302000523000,Valborg,pm,12.8386
9021302000312000,Maxinge,9021302000662000,"Centrum, Nygatan",pm,6.4612
9021302000445000,Strandnäs skola södra,9021302000662000,"Centrum, Nygatan",pm,6.3973
9021302000445000,Strandnäs skola södra,9021302000622000,Solberget,pm,5.8752
9021302000308000,"Mariehamn, Bussplan",9021302000590000,Önningeby vsk.,pm,4.5134
9021302000121000,Godby högstadium,9021302000261000,Källbo skola,pm,4.2798
9021302000189000,Jomala skola,9021302000087000,Emkarby,pm,4.1688
9021302000123000,Godbyhallen vsk.,9021302000261000,Källbo skola,pm,4.1096
9021302000662000,"Centrum, Nygatan",9021302000071000,Doppingvägen,pm,3.9615
9021302000189000,Jomala skola,9021302000535000,Vessingsboda,pm,3.8436
9021302000308000,"Mariehamn, Bussplan",9021302000259000,Källarvägen,pm,3.7909
9021302000123000,Godbyhallen vsk.,9021302000308000,"Mariehamn, Bussplan",pm,3.55
9021302000308000,"Mariehamn, Bussplan",9021302000115000,GE-huset,pm,3.4443
9021302000121000,Godby högstadium,9021302000255000,Kvarnbo,pm,3.2994
9021302000261000,Källbo skola,9021302000255000,Kvarnbo,pm,3.157
9021302000445000,Strandnäs skola södra,9021302000630000,Kalmarnäs vändplan,pm,3.1234
9021302000662000,"Centrum, Nygatan",9021302000639000,Hindersbölevägen,pm,3.0103
9021302000189000,Jomala skola,9021302000362000,Prästgården,pm,2.9155
9021302000189000,Jomala skola,9021302000021000,Bjärström,pm,2.8797
9021302000261000,Källbo skola,9021302000457000,Svartsmara,pm,2.8142
9021302000308000,"Mariehamn, Bussplan",9021302000029000,Björkuddsvägen vsk.,pm,2.8063
9021302000189000,Jomala skola,9021302000220000,Knutsboda vsk.,pm,2.6521
9021302000121000,Godby högstadium,9021302000457000,Svartsmara,pm,2.6046
9021302000189000,Jomala skola,9021302000557000,Västeränga,pm,2.5501
9021302000308000,"Mariehamn, Bussplan",9021302000429000,Torget,pm,2.4934
9021302000125000,Godbyvägen 1285,9021302000261000,Källbo skola,pm,2.4631
9021302000662000,"Centrum, Nygatan",9021302000647000,Lotsgatan,pm,2.3571
9021302000261000,Källbo skola,9021302000308000,"Mariehamn, Bussplan",pm,2.3339
9021302000121000,Godby högstadium,9021302000508000,Torrbolstad,pm,2.3019
9021302000668000,Jomala skola södra,9021302000209000,Kattby södra,pm,2.2943
9021302000445000,Strandnäs skola södra,9021302000421000,Solberget södra,pm,2.2418
9021302000308000,"Mariehamn, Bussplan",9021302000340000,Odalgården,pm,2.2317
9021302000662000,"Centrum, Nygatan",9021302000622000,Solberget,pm,2.1518
9021302000308000,"Mariehamn, Bussplan",9021302000543000,Vikingahallen,pm,2.0627
9021302000261000,Källbo skola,9021302000508000,Torrbolstad,pm,2.0532
9021302000189000,Jomala skola,9021302000486000,Södra Flaka,pm,1.9896
9021302000189000,Jomala skola,9021302000596000,Östanåkersvägen vsk.,pm,1.9792
9021302000308000,"Mariehamn, Bussplan",9021302000492000,Tekniska verken,pm,1.9143
9021302000121000,Godby högstadium,9021302000214000,Killingholm,pm,1.8774
9021302000308000,"Mariehamn, Bussplan",9021302000439000,Strandnäs,pm,1.8272
9021302000189000,Jomala skola,9021302000275000,Lemlands kyrka,pm,1.8141
9021302000662000,"Centrum, Nygatan",9021302000646000,Ytternäs skola,pm,1.7602
9021302000261000,Källbo skola,9021302000043000,Breidablick,pm,1.76
9021302000189000,Jomala skola,9021302000240000,Kullavägen vsk.,pm,1.7243
9021302000261000,Källbo skola,9021302000214000,Killingholm,pm,1.7175
9021302000308000,"Mariehamn, Bussplan",9021302000261000,Källbo skola,pm,1.7121
9021302000662000,"Centrum, Nygatan",9021302000640000,Doktorsvägen 1B/1C,pm,1.6919
9021302000189000,Jomala skola,9021302000089000,Emkarby daghem,pm,1.6536
9021302000261000,Källbo skola,9021302000009000,Bamböle,pm,1.6178
9021302000121000,Godby högstadium,9021302000043000,Breidablick,pm,1.6019
9021302000121000,Godby högstadium,9021302000157000,Haraldsby,pm,1.5787
9021302000123000,Godbyhallen vsk.,9021302000117000,Geta centrum,pm,1.5579
9021302000121000,Godby högstadium,9021302000009000,Bamböle,pm,1.5413
